From	Entry	Reviewed
NP_005800.3	V9HW12	unreviewed
NP_060386.1	Q9NWS0	reviewed
NP_001918.3	P17661	reviewed
NP_001918.3	Q53SB5	unreviewed
NP_037377.1	Q9UN37	reviewed
NP_037377.1	A0A024R705	unreviewed
NP_001655.1	P61586	reviewed
NP_001655.1	A0A024R324	unreviewed
NP_001655.1	Q9BVT0	unreviewed
NP_149095.2	Q8WXE9	reviewed
NP_002368.1	P04201	reviewed
NP_002368.1	W8W3P4	unreviewed
NP_000567.1	P01584	reviewed
NP_612144.1	Q8TDB6	reviewed
NP_001074305.1	Q5JSS6	reviewed
NP_000815.1	P48167	reviewed
NP_057067.1	Q9Y2X8	reviewed
NP_057067.1	A0A024RA90	unreviewed
NP_612430.2	Q96ER3	reviewed
NP_612430.2	G1UCX3	unreviewed
NP_068710.1	Q14802	reviewed
NP_000832.1	Q14833	reviewed
NP_000832.1	A1L4F9	unreviewed
NP_003841.1	Q9P2R7	reviewed
NP_003841.1	E5KS60	unreviewed
NP_003841.1	Q9Y4T0	unreviewed
NP_000210.2	P15382	reviewed
NP_000210.2	C7S316	unreviewed
NP_000210.2	Q6FHJ6	unreviewed
NP_008999.2	Q14565	reviewed
NP_008872.1	P56693	reviewed
NP_008872.1	A0A024R1N6	unreviewed
NP_036228.1	Q9UKG1	reviewed
NP_065695.1	Q9NQ34	reviewed
NP_065695.1	Q543A1	unreviewed
NP_058633.2	P09884	reviewed
NP_003587.1	O60507	reviewed
NP_003587.1	A0A024RDK9	unreviewed
NP_060767.2	Q96IV0	reviewed
NP_001931.2	P54259	reviewed
NP_056238.2	Q9NRN7	reviewed
NP_060952.2	Q9ULH1	reviewed
NP_000563.1	P22301	reviewed
NP_000563.1	Q6FGW4	unreviewed
NP_000780.1	P12821	reviewed
NP_000780.1	B4DKH4	unreviewed
NP_005505.2	P01889	reviewed
NP_005505.2	E5FQ95	unreviewed
NP_006467.4	O75964	reviewed
NP_001042.1	P32745	reviewed
NP_003738.2	O95271	reviewed
NP_005882.2	Q9BWD1	reviewed
NP_004191.2	O43581	reviewed
NP_054750.1	Q9Y2P4	reviewed
NP_653179.1	Q8NDC0	reviewed
NP_056008.1	Q7LC44	reviewed
NP_061850.2	Q9NZ94	reviewed
NP_061850.2	Q4G160	unreviewed
NP_061850.2	X5D2P6	unreviewed
NP_055445.2	Q92610	reviewed
NP_071909.1	Q9H173	reviewed
NP_071909.1	A0A0S2Z6B4	unreviewed
NP_550434.1	P07307	reviewed
NP_000375.2	P04114	reviewed
NP_000375.2	Q59HB3	unreviewed
NP_000375.2	Q7Z7Q0	unreviewed
NP_958839.1	O60861	reviewed
NP_000596.2	P01563	reviewed
NP_000596.2	A0A7R8GUN5	unreviewed
NP_000967.1	P30050	reviewed
NP_665705.1	Q9GZZ7	reviewed
NP_079017.1	Q9H9D4	reviewed
NP_002990.2	P31431	reviewed
NP_001892.1	P29279	reviewed
NP_001892.1	Q5M8T4	unreviewed
NP_002834.3	Q12913	reviewed
NP_002834.3	Q9NPR5	unreviewed
NP_078832.1	Q9BPY3	reviewed
NP_078832.1	A0A024R3L8	unreviewed
NP_055963.2	Q96RG2	reviewed
NP_116019.1	Q9BW66	reviewed
NP_116019.1	A0A024R6M9	unreviewed
NP_077005.2	Q9BV38	reviewed
NP_060946.3	Q9HBH7	reviewed
NP_003453.2	O14645	reviewed
NP_003453.2	A0A499FIY3	unreviewed
NP_001367.2	Q14204	reviewed
NP_115806.1	Q8TDC3	reviewed
NP_660329.1	Q8TAV4	reviewed
NP_071762.2	Q9H3S1	reviewed
NP_973728.1	Q15723	reviewed
NP_006748.1	P45378	reviewed
NP_001008540.1	P61073	reviewed
NP_689497.1	Q96CF2	reviewed
NP_071328.2	Q96DY7	reviewed
NP_005049.1	P0DJD3	reviewed
NP_001279.2	O00299	reviewed
NP_001279.2	Q5SRT3	unreviewed
NP_055895.1	Q9P2S2	reviewed
NP_443137.2	Q96PY5	reviewed
NP_115740.5	Q6Y2X3	reviewed
NP_115740.5	A0A024RB64	unreviewed
NP_037448.2	O95628	reviewed
NP_003733.2	O95342	reviewed
NP_001144.1	P09525	reviewed
NP_001144.1	Q6P452	unreviewed
NP_722520.2	Q8IX07	reviewed
NP_742152.1	Q8IU54	reviewed
NP_742152.1	A0A7R8C391	unreviewed
NP_057953.1	Q02548	reviewed
NP_003395.1	P31946	reviewed
NP_003395.1	V9HWD6	unreviewed
NP_006681.1	Q9Y5R2	reviewed
NP_006681.1	Q86VV6	unreviewed
NP_848693.2	Q92530	reviewed
NP_848693.2	A0A140VJT2	unreviewed
NP_004966.1	Q14721	reviewed
NP_004672.2	O14602	reviewed
NP_694853.1	Q8NFP7	reviewed
NP_055689.1	O95140	reviewed
NP_000670.1	P35368	reviewed
NP_057256.2	Q9BSL1	reviewed
NP_057256.2	A0A140VK64	unreviewed
NP_060931.2	Q66LE6	reviewed
NP_006818.3	P49755	reviewed
NP_006818.3	A0A024R6I3	unreviewed
NP_277032.1	P19367	reviewed
NP_277032.1	A0A024QZK7	unreviewed
NP_277032.1	B3KXY9	unreviewed
NP_742150.1	Q8IZJ0	reviewed
NP_001188.1	Q13323	reviewed
NP_001188.1	A0A024R4X6	unreviewed
NP_002981.2	O00626	reviewed
NP_443118.1	Q969L2	reviewed
NP_443118.1	A0A024R9E4	unreviewed
NP_006290.1	O15535	reviewed
NP_006290.1	A0A024RCK9	unreviewed
NP_004441.1	P84090	reviewed
NP_004441.1	A0A024R6D4	unreviewed
NP_063945.2	Q9NRR6	reviewed
NP_073580.1	Q9H7B4	reviewed
NP_602293.1	P37235	reviewed
NP_602293.1	O75544	unreviewed
NP_602293.1	Q6FGY1	unreviewed
NP_004854.1	O15270	reviewed
NP_004854.1	A0A024R6H1	unreviewed
NP_057669.1	Q9P2T0	reviewed
NP_057531.2	Q9NZW5	reviewed
NP_057531.2	A0A024RA25	unreviewed
NP_060672.2	Q8N5G2	reviewed
NP_689520.2	Q96FX7	reviewed
NP_689520.2	A0A024R6Q2	unreviewed
NP_001091981.1	O00139	reviewed
NP_002063.2	P50148	reviewed
NP_002063.2	A0A024R240	unreviewed
NP_003840.2	P53597	reviewed
NP_001949.1	Q05639	reviewed
NP_065386.1	Q9GZX6	reviewed
NP_065386.1	A0A7R8C389	unreviewed
NP_000475.1	P05067	reviewed
NP_000475.1	A0A140VJC8	unreviewed
NP_006786.2	Q9H4M9	reviewed
NP_006786.2	B2R5U3	unreviewed
NP_003397.1	P63104	reviewed
NP_003397.1	D0PNI1	unreviewed
NP_001935.2	P32926	reviewed
NP_002237.1	O14649	reviewed
NP_002737.2	P27361	reviewed
NP_002737.2	L7RXH5	unreviewed
NP_000044.2	P35670	reviewed
NP_000044.2	A0A024RDX3	unreviewed
NP_000044.2	B7ZLR4	unreviewed
NP_006445.1	Q14582	reviewed
NP_003474.1	P52926	reviewed
NP_071731.1	Q9UNE0	reviewed
NP_003454.1	Q93096	reviewed
NP_003454.1	A0A024R8J2	unreviewed
NP_067075.1	Q9NP72	reviewed
NP_003309.2	P33981	reviewed
NP_060554.3	Q3V6T2	reviewed
NP_705718.1	Q8IU85	reviewed
NP_705718.1	Q5SQQ7	unreviewed
NP_055310.1	Q9Y5C1	reviewed
NP_942014.1	Q9BXS0	reviewed
NP_001281.1	O43679	reviewed
NP_003889.1	O15056	reviewed
NP_003889.1	B4DG94	unreviewed
NP_006735.2	P02753	reviewed
NP_071931.2	Q6UWL2	reviewed
NP_000048.1	P54132	reviewed
NP_001494.2	P80108	reviewed
NP_060445.3	Q9H900	reviewed
NP_005926.1	P51825	reviewed
NP_005926.1	Q14C88	unreviewed
NP_067015.2	P31277	reviewed
NP_114129.1	Q5VWG9	reviewed
NP_667341.1	O14931	reviewed
NP_620594.1	Q76LX8	reviewed
NP_689579.3	Q8NEP7	reviewed
NP_003394.1	P25490	reviewed
NP_003181.3	O15533	reviewed
NP_003181.3	A0A024RCT1	unreviewed
NP_002258.2	O00505	reviewed
NP_002258.2	A0A024RDV7	unreviewed
NP_001074.2	O76074	reviewed
NP_004628.4	P51149	reviewed
NP_004628.4	A0A158RFU6	unreviewed
NP_061887.2	Q9H9Y6	reviewed
NP_061887.2	B7Z1W6	unreviewed
NP_057616.2	Q9BT40	reviewed
NP_001034612.1	P02708	reviewed
NP_001034612.1	Q53SH4	unreviewed
NP_009048.1	P20396	reviewed
NP_872586.1	Q8N8G2	reviewed
NP_689522.2	Q6ZUJ8	reviewed
NP_689522.2	Q86YV3	unreviewed
NP_009049.2	O75962	reviewed
NP_060177.2	Q8TDY4	reviewed
NP_060177.2	A0A024RAB1	unreviewed
NP_055521.1	Q15020	reviewed
NP_001770.1	P19256	reviewed
NP_001013.1	P39019	reviewed
NP_001013.1	B0ZBD0	unreviewed
NP_065837.1	Q9P2J9	reviewed
NP_006040.1	O75971	reviewed
NP_006040.1	A0A024R5X1	unreviewed
NP_005073.2	Q14258	reviewed
NP_004466.2	Q14254	reviewed
NP_004466.2	A0A024QZ62	unreviewed
NP_004466.2	Q9BTI6	unreviewed
NP_001302.1	P50238	reviewed
NP_690008.2	Q9Y2N7	reviewed
NP_056470.1	Q9Y3M9	reviewed
NP_056470.1	A8K5C0	unreviewed
NP_005903.2	P32245	reviewed
NP_995582.1	O00482	reviewed
NP_001073932.1	Q8NCM8	reviewed
NP_036321.2	O75952	reviewed
NP_036321.2	A0A024RC21	unreviewed
NP_955359.1	O43609	reviewed
NP_006586.1	Q9BZZ5	reviewed
NP_003280.2	P07951	reviewed
NP_068834.2	Q9NRM2	reviewed
NP_037368.1	Q9UBB4	reviewed
NP_038347.2	P19440	reviewed
NP_038347.2	A0A140VJJ9	unreviewed
NP_115899.1	Q9BYG4	reviewed
NP_001278.1	P51798	reviewed
NP_060800.2	A0MZ66	reviewed
NP_004447.2	Q15910	reviewed
NP_004447.2	A0A090N8E9	unreviewed
NP_056980.2	O75800	reviewed
NP_036356.1	Q96PY6	reviewed
NP_057648.2	Q8N111	reviewed
NP_036370.2	Q96EB6	reviewed
NP_036370.2	A0A024QZQ1	unreviewed
NP_006094.3	Q14508	reviewed
NP_006094.3	A0A384MTN6	unreviewed
NP_002117.1	Q16534	reviewed
NP_006799.1	P60468	reviewed
NP_060589.1	Q9NVU0	reviewed
NP_009203.2	Q99895	reviewed
NP_000265.1	P04181	reviewed
NP_000265.1	A0A140VJQ4	unreviewed
NP_005498.1	P23528	reviewed
NP_005498.1	V9HWI5	unreviewed
NP_055271.2	Q53EL6	reviewed
NP_940870.2	Q6ZRQ5	reviewed
NP_008998.1	O95251	reviewed
NP_000325.4	P35499	reviewed
NP_004214.1	O14933	reviewed
NP_004713.2	O00189	reviewed
NP_001391.2	P21453	reviewed
NP_000195.2	P05156	reviewed
NP_000195.2	A8K3L0	unreviewed
NP_000081.1	P02461	reviewed
NP_001032891.1	Q2VWA4	reviewed
NP_004435.3	P54760	reviewed
NP_004435.3	Q541P7	unreviewed
NP_004435.3	Q96L35	unreviewed
NP_004531.2	O15394	reviewed
NP_001795.2	P47902	reviewed
NP_055435.2	P09017	reviewed
NP_055435.2	A0A024RB51	unreviewed
NP_055435.2	Q86TF7	unreviewed
NP_005332.1	P10074	reviewed
NP_000124.1	P00740	reviewed
NP_002635.2	P01833	reviewed
NP_071412.2	P30039	reviewed
NP_071412.2	A0A024QZK5	unreviewed
NP_000205.1	P78504	reviewed
NP_000205.1	Q99740	unreviewed
NP_006144.1	P16333	reviewed
NP_006144.1	A0A0S2Z4Y3	unreviewed
NP_061977.1	Q96GY3	reviewed
NP_001901.1	P14091	reviewed
NP_000066.1	P11802	reviewed
NP_000066.1	A0A024RBB6	unreviewed
NP_004166.1	P62318	reviewed
NP_055143.2	Q9BVN2	reviewed
NP_003076.1	Q16143	reviewed
NP_733749.1	Q8TDF6	reviewed
NP_005656.4	O60447	reviewed
NP_005656.4	Q59FE7	unreviewed
NP_003925.1	Q96I24	reviewed
NP_003925.1	A0A024R8A7	unreviewed
NP_008924.1	O75607	reviewed
NP_008965.2	Q9UDY4	reviewed
NP_060413.2	Q9NWN3	reviewed
NP_060413.2	A0A024R653	unreviewed
NP_064576.1	P82650	reviewed
NP_689816.2	Q8N184	reviewed
NP_000446.1	Q15831	reviewed
NP_000446.1	A0A0S2Z4D1	unreviewed
NP_003725.1	Q16853	reviewed
NP_003725.1	Q9UEU7	unreviewed
NP_001091995.1	Q8WWK9	reviewed
NP_000546.2	O43602	reviewed
NP_005529.1	P55103	reviewed
NP_694822.2	Q8IUF8	reviewed
NP_694822.2	A0A6M8YDW1	unreviewed
NP_705690.2	Q86WU2	reviewed
NP_115753.1	P60002	reviewed
NP_005950.1	P49286	reviewed
NP_003007.2	Q01130	reviewed
NP_003007.2	A0A024R8U5	unreviewed
NP_004396.1	Q07687	reviewed
NP_004396.1	Q53QU7	unreviewed
NP_004396.1	X5D7D8	unreviewed
NP_004913.2	P53992	reviewed
NP_004913.2	A0A024QZM6	unreviewed
NP_059127.2	Q9UGI9	reviewed
NP_015556.1	Q14807	reviewed
NP_002230.1	P48549	reviewed
NP_002253.1	Q13241	reviewed
NP_002253.1	Q53ZY6	unreviewed
NP_004610.1	O00463	reviewed
NP_858062.1	Q00005	reviewed
NP_079234.1	Q9GZP1	reviewed
NP_002805.1	O75832	reviewed
NP_942131.1	Q13085	reviewed
NP_073567.1	Q9H9Q2	reviewed
NP_073567.1	A0A024R471	unreviewed
NP_705871.1	Q8NFY4	reviewed
NP_003741.1	Q14152	reviewed
NP_057540.1	Q9P0T7	reviewed
NP_057540.1	A0A024R967	unreviewed
NP_060377.1	Q6IAA8	reviewed
NP_004248.2	Q8WUH2	reviewed
NP_005043.1	P60763	reviewed
NP_955450.2	P42785	reviewed
NP_067021.1	Q9GZU7	reviewed
NP_077719.2	Q04721	reviewed
NP_077719.2	Q6IQ50	unreviewed
NP_077719.2	Q9UFD5	unreviewed
NP_004066.1	Q16526	reviewed
NP_004066.1	A2I2P0	unreviewed
NP_005608.1	P62263	reviewed
NP_055870.2	Q9UH65	reviewed
NP_055870.2	B3KUB9	unreviewed
NP_060731.2	Q9NV70	reviewed
NP_060731.2	A1LT29	unreviewed
NP_000505.1	P39905	reviewed
NP_000505.1	A0A0S2Z3V2	unreviewed
NP_001629.1	Q13790	reviewed
NP_631961.1	Q92804	reviewed
NP_002294.2	P48357	reviewed
NP_000868.1	P14778	reviewed
NP_002043.2	P43694	reviewed
NP_002043.2	B3KUF4	unreviewed
NP_056537.1	Q9NYX4	reviewed
NP_004799.1	O60551	reviewed
NP_003155.2	Q13190	reviewed
NP_786923.1	Q7RTU3	reviewed
NP_056978.2	Q9NZ72	reviewed
NP_733778.1	Q9NPI5	reviewed
NP_055570.1	Q14140	reviewed
NP_690902.1	Q99829	reviewed
NP_002406.1	P14174	reviewed
NP_002406.1	I4AY87	unreviewed
NP_008922.1	O14709	reviewed
NP_008922.1	Q7Z6G1	unreviewed
NP_006840.2	Q13087	reviewed
NP_060866.2	Q6P1Q9	reviewed
NP_055792.1	Q9UKV3	reviewed
NP_001004.2	P46781	reviewed
NP_001004.2	A0A024R4M0	unreviewed
NP_001612.1	P35869	reviewed
NP_001612.1	A0A024R9Z8	unreviewed
NP_005712.1	P61158	reviewed
NP_005712.1	A0A024RAI1	unreviewed
NP_004228.1	Q15645	reviewed
NP_003797.1	O00198	reviewed
NP_002599.1	P01127	reviewed
NP_002599.1	A0A384NYY3	unreviewed
NP_000808.2	Q99259	reviewed
NP_000808.2	A0A0S2Z3V5	unreviewed
NP_000808.2	Q8IVA8	unreviewed
NP_060489.1	Q9NWA0	reviewed
NP_002408.3	P46013	reviewed
NP_058432.1	Q9UEY8	reviewed
NP_058432.1	Q5VU08	unreviewed
NP_055884.2	Q2M1K9	reviewed
NP_055884.2	B3KNG7	unreviewed
NP_003089.1	Q13424	reviewed
NP_071285.1	O75469	reviewed
NP_071285.1	F1D8P9	unreviewed
NP_060823.3	Q6P0N0	reviewed
NP_055790.1	Q9Y2H9	reviewed
NP_000054.2	P06681	reviewed
NP_000054.2	Q53HP3	unreviewed
NP_000054.2	Q5JP69	unreviewed
NP_002958.2	Q15424	reviewed
NP_001616.1	P54819	reviewed
NP_001616.1	A0A140VK93	unreviewed
NP_015561.1	Q9H6Z4	reviewed
NP_003240.1	P52888	reviewed
NP_003874.2	O15379	reviewed
NP_006358.1	Q01518	reviewed
NP_006358.1	D3DPU2	unreviewed
NP_055293.1	O75575	reviewed
NP_055293.1	A0A024RDL0	unreviewed
NP_004844.1	Q9UNK0	reviewed
NP_002454.1	P20592	reviewed
NP_005733.1	Q15084	reviewed
NP_005733.1	A0A384NPU5	unreviewed
NP_004762.2	O60882	reviewed
NP_001211.3	Q13554	reviewed
NP_001211.3	A4D2J9	unreviewed
NP_008929.2	O76038	reviewed
NP_002948.1	P19793	reviewed
NP_002948.1	F1D8Q5	unreviewed
NP_002948.1	Q6P3U7	unreviewed
NP_003707.2	Q9ULU8	reviewed
NP_072174.3	Q9HBL0	reviewed
NP_072174.3	A1L0S7	unreviewed
NP_072174.3	Q59G71	unreviewed
NP_072174.3	Q86VB0	unreviewed
NP_004707.2	Q16549	reviewed
NP_004616.2	O00755	reviewed
NP_005185.2	P17676	reviewed
NP_919296.1	Q8N2K1	reviewed
NP_064714.2	Q9BXP8	reviewed
NP_002328.1	P30533	reviewed
NP_057484.3	Q9NX55	reviewed
NP_057484.3	A0A024R5Q1	unreviewed
NP_056986.2	O95071	reviewed
NP_001607.1	P27037	reviewed
NP_006750.3	Q16851	reviewed
NP_689968.1	Q8N129	reviewed
NP_005158.5	Q5JR12	reviewed
NP_001005.1	P46783	reviewed
NP_115672.2	Q4VC44	reviewed
NP_004199.1	O95831	reviewed
NP_055302.1	Q9Y3S2	reviewed
NP_055302.1	Q53EN0	unreviewed
NP_057065.2	A8K161	unreviewed
NP_057065.2	Q8IWE0	unreviewed
NP_006312.1	O95376	reviewed
NP_006312.1	Q6IBL8	unreviewed
NP_001032221.1	Q8N137	reviewed
NP_000310.2	P50542	reviewed
NP_000310.2	A0A0S2Z480	unreviewed
NP_004772.1	Q15836	reviewed
NP_004772.1	Q6FGG2	unreviewed
NP_620829.1	Q9H869	reviewed
NP_002696.3	O60437	reviewed
NP_115714.1	Q9BRT6	reviewed
NP_115714.1	A0A024RB76	unreviewed
NP_005874.1	O95996	reviewed
NP_004175.2	P23381	reviewed
NP_004175.2	A0A024R6K8	unreviewed
NP_004319.1	Q9Y276	reviewed
NP_004319.1	A0A024R445	unreviewed
NP_008950.1	O00762	reviewed
NP_008950.1	Q5TZN3	unreviewed
NP_037423.2	Q10570	reviewed
NP_037446.1	Q8WV28	reviewed
NP_073562.1	Q9NPI8	reviewed
NP_073562.1	A3KME0	unreviewed
NP_003619.2	Q99569	reviewed
NP_067038.1	Q9NQG5	reviewed
NP_065913.1	Q9P244	reviewed
NP_055643.1	O94842	reviewed
NP_149978.1	Q96MC5	reviewed
NP_149978.1	A0A024QZI8	unreviewed
NP_005023.2	P13797	reviewed
NP_112188.1	Q9NQX7	reviewed
NP_000272.1	P61457	reviewed
NP_005473.1	Q92643	reviewed
NP_077726.1	Q9NQI0	reviewed
NP_000675.1	P08588	reviewed
NP_000973.2	P46778	reviewed
NP_000973.2	Q6IAX2	unreviewed
NP_060077.1	Q9BZL4	reviewed
NP_006446.1	Q92791	reviewed
NP_002492.2	Q14938	reviewed
NP_000343.2	Q09428	reviewed
NP_004301.1	Q15669	reviewed
NP_004301.1	Q6ICP4	unreviewed
NP_005760.1	Q8NCG5	reviewed
NP_002412.1	P03956	reviewed
NP_002412.1	Q53G95	unreviewed
NP_000624.2	P10415	reviewed
NP_000624.2	A0A024R2B3	unreviewed
NP_115703.2	Q969W1	reviewed
NP_003791.3	O60942	reviewed
NP_003791.3	Q7Z3R6	unreviewed
NP_055964.3	Q9NZL6	reviewed
NP_710142.1	Q9Y6N9	reviewed
NP_067045.1	Q86TP1	reviewed
NP_055747.1	Q8N2Q7	reviewed
NP_078986.1	Q96AB3	reviewed
NP_057190.2	Q8WVM8	reviewed
NP_620310.1	Q9NQ94	reviewed
NP_620310.1	A0A024QZM7	unreviewed
NP_004584.1	P62995	reviewed
NP_689485.1	Q8WUX9	reviewed
NP_689485.1	B3KUH0	unreviewed
NP_036200.2	Q9Y2D1	reviewed
NP_036200.2	A0A024QZG3	unreviewed
NP_853510.1	Q7Z444	reviewed
NP_653260.1	Q8TDR4	reviewed
NP_004460.1	O43915	reviewed
NP_001031.2	P04278	reviewed
NP_001031.2	B0FWH2	unreviewed
NP_002113.2	P01909	reviewed
NP_002113.2	A0A173ADG5	unreviewed
NP_002113.2	Q8MH44	unreviewed
NP_001001557.1	Q6KF10	reviewed
NP_001001557.1	A0A0S2A5D6	unreviewed
NP_003175.1	Q6P1X5	reviewed
NP_003175.1	B3KMD8	unreviewed
NP_002536.1	Q14982	reviewed
NP_002536.1	A8K0Y0	unreviewed
NP_055525.3	Q5JY77	reviewed
NP_002159.2	P48735	reviewed
NP_071445.1	Q9HC29	reviewed
NP_891548.1	P11308	reviewed
NP_006702.1	Q15287	reviewed
NP_006702.1	D3DU92	unreviewed
NP_116000.1	O75365	reviewed
NP_005946.2	Q14872	reviewed
NP_036286.2	Q9UKV8	reviewed
NP_005313.1	P16401	reviewed
NP_005366.2	P10242	reviewed
NP_005366.2	Q708E9	unreviewed
NP_848663.1	Q86UN2	reviewed
NP_055629.1	Q15008	reviewed
NP_008949.4	Q7Z7A1	reviewed
NP_000423.2	P10916	reviewed
NP_000423.2	Q6IB42	unreviewed
NP_060181.2	Q9HCC8	reviewed
NP_003004.1	Q96HF1	reviewed
NP_003004.1	A0A140VJU3	unreviewed
NP_003004.1	B3KSM5	unreviewed
NP_064603.1	Q14CW9	reviewed
NP_001070950.1	Q14994	reviewed
NP_057284.1	O95777	reviewed
NP_057284.1	A4D0W0	unreviewed
NP_068597.2	Q9GZT6	reviewed
NP_002842.2	P23471	reviewed
NP_002658.1	P26678	reviewed
NP_002658.1	Q5R352	unreviewed
NP_055134.2	Q9Y2U8	reviewed
NP_055134.2	A0A024RBB9	unreviewed
NP_057347.2	Q9UM11	reviewed
NP_112218.2	Q9BXR5	reviewed
NP_112218.2	A0A024R9W4	unreviewed
NP_653302.2	Q5VWK5	reviewed
NP_002169.1	P24592	reviewed
NP_009157.1	O95156	reviewed
NP_005685.1	Q14061	reviewed
NP_659435.2	A8MT69	reviewed
NP_005688.2	O15127	reviewed
NP_005688.2	A0A140VK92	unreviewed
NP_054872.2	Q8IWR0	reviewed
NP_004242.1	P51151	reviewed
NP_004242.1	A0A024RBV5	unreviewed
NP_002782.1	P60900	reviewed
NP_002782.1	A0A140VK44	unreviewed
NP_006451.1	O94992	reviewed
NP_009011.1	P62312	reviewed
NP_000282.1	P00558	reviewed
NP_000282.1	V9HWF4	unreviewed
NP_001941.2	Q16254	reviewed
NP_689587.1	Q8TAB5	reviewed
NP_004076.1	O60220	reviewed
NP_001006659.1	P20023	reviewed
NP_000509.1	P68871	reviewed
NP_000509.1	D9YZU5	unreviewed
NP_001537.1	P47928	reviewed
NP_113674.1	Q5JVG2	reviewed
NP_001663.2	P42127	reviewed
NP_060045.4	Q86US8	reviewed
NP_062816.2	Q9NR82	reviewed
NP_036427.1	Q9Y6J0	reviewed
NP_036427.1	A0A024R1E5	unreviewed
NP_002684.1	P54098	reviewed
NP_002684.1	E5KNU5	unreviewed
NP_065099.3	Q96KN7	reviewed
NP_644805.1	P40763	reviewed
NP_002859.1	P61020	reviewed
NP_002859.1	A0A024RB09	unreviewed
NP_001001998.1	Q01780	reviewed
NP_001666.2	P18848	reviewed
NP_036296.2	Q9UKT8	reviewed
NP_068751.4	Q9NPQ8	reviewed
NP_061178.1	Q9BSK4	reviewed
NP_002745.1	O15264	reviewed
NP_002745.1	A0A024RD04	unreviewed
NP_848512.1	Q9UKV0	reviewed
NP_071364.4	Q9NQG7	reviewed
NP_071364.4	A8K2E6	unreviewed
NP_071364.4	Q6P1K3	unreviewed
NP_002125.3	P30519	reviewed
NP_444504.1	Q92990	reviewed
NP_078874.2	Q9BQ65	reviewed
NP_078874.2	A0A024R6V6	unreviewed
NP_055717.2	Q9Y2H0	reviewed
NP_002954.2	P31151	reviewed
NP_003755.2	O75558	reviewed
NP_005210.3	O60610	reviewed
NP_005210.3	Q6URC4	unreviewed
NP_002181.1	Q16552	reviewed
NP_009053.1	P22415	reviewed
NP_009053.1	A0A0S2Z4U5	unreviewed
NP_734465.2	Q8IZJ1	reviewed
NP_001996.1	P07332	reviewed
NP_001996.1	A0A024RC92	unreviewed
NP_002551.2	Q99571	reviewed
NP_001272.2	Q99426	reviewed
NP_005520.4	P98160	reviewed
NP_001092871.1	O43556	reviewed
NP_000951.1	P43119	reviewed
NP_065177.2	Q96A73	reviewed
NP_065177.2	A0A024R7Q7	unreviewed
NP_076962.2	Q8NFH4	reviewed
NP_002077.1	P62993	reviewed
NP_002077.1	B0LPF3	unreviewed
NP_001015.1	P63220	reviewed
NP_001015.1	Q6FGH5	unreviewed
NP_002081.2	P19876	reviewed
NP_892028.1	P05981	reviewed
NP_892028.1	A0A140VJK9	unreviewed
NP_938195.1	Q9UKW6	reviewed
NP_938195.1	A8K443	unreviewed
NP_005863.1	O75934	reviewed
NP_005863.1	B2R7W3	unreviewed
NP_002538.1	O60890	reviewed
NP_003765.2	Q8N4A0	reviewed
NP_056006.1	Q9H0K1	reviewed
NP_056006.1	A0A024R3G7	unreviewed
NP_689876.2	Q86X27	reviewed
NP_057182.1	Q9Y5U8	reviewed
NP_000331.1	P11168	reviewed
NP_068741.1	Q9HB96	reviewed
NP_003704.3	O14495	reviewed
NP_003749.2	O75822	reviewed
NP_003749.2	A0A024R5S5	unreviewed
NP_064440.1	P01906	reviewed
NP_064440.1	Q76NI6	unreviewed
NP_002274.1	P78386	reviewed
NP_078983.1	Q9H840	reviewed
NP_006180.1	P47874	reviewed
NP_002187.1	Q01101	reviewed
NP_056085.1	O43306	reviewed
NP_859066.1	Q53ET0	reviewed
NP_002308.2	P28300	reviewed
NP_002308.2	D0PNI2	unreviewed
NP_078867.2	Q96FZ7	reviewed
NP_055687.1	O15062	reviewed
NP_055687.1	Q5T942	unreviewed
NP_473357.1	O75494	reviewed
NP_473357.1	A0A0S2Z504	unreviewed
NP_061923.2	Q70EK8	reviewed
NP_061923.2	Q9H9I0	unreviewed
NP_000410.2	P08514	reviewed
NP_000029.2	P25054	reviewed
NP_000029.2	Q4LE70	unreviewed
NP_057559.2	Q9P055	reviewed
NP_000075.1	P51795	reviewed
NP_000075.1	A8K4H5	unreviewed
NP_001011552.2	Q6AI14	reviewed
NP_066553.3	P56181	reviewed
NP_060353.2	Q9H1Z4	reviewed
NP_071496.1	Q15056	reviewed
NP_056134.2	Q63HR2	reviewed
NP_068590.1	Q9H4B6	reviewed
NP_036323.2	Q93015	reviewed
NP_036323.2	Q6IAP1	unreviewed
NP_665898.1	Q9NWB1	reviewed
NP_006294.2	Q13155	reviewed
NP_006294.2	A0A024QZY1	unreviewed
NP_057090.2	Q8WTS1	reviewed
NP_057090.2	A0A0S2Z5D6	unreviewed
NP_065789.1	Q9ULH0	reviewed
NP_001992.1	P12319	reviewed
NP_573566.2	P42704	reviewed
NP_573566.2	E5KNY5	unreviewed
NP_001003954.1	P27216	reviewed
NP_001003954.1	Q53FB5	unreviewed
NP_473371.1	Q96LB1	reviewed
NP_003646.2	O00257	reviewed
NP_003646.2	A0A0S2Z5B2	unreviewed
NP_006489.1	P05162	reviewed
NP_004631.1	Q13838	reviewed
NP_004631.1	A0A024RCM3	unreviewed
NP_004754.1	O14713	reviewed
NP_002251.2	P26717	reviewed
NP_003723.1	O60516	reviewed
NP_004221.3	O95136	reviewed
